gear_type,gearbox_type,material,module,teeth,load,speed,gear_ratio,heat_treatment,surface_finish,quantity,delivery_type,price
Helical,Industrial,Cast Iron,6.207386416102878,87,3236.803715987361,2853.394547493779,69.07779919742667,True,Raw,50,Urgent,36022.81
Worm,Automotive,Stainless Steel,7.0784913182100695,73,2487.2400051068953,3297.455957352181,23.89999339381564,False,Ground,25,Urgent,95832.48
Worm,Marine,Alloy Steel,6.623534743264283,165,7442.070397752135,3891.901121975437,17.852945485792226,True,Polished,1,Urgent,147005.81
Helical,Agricultural,Cast Iron,6.99636723572608,78,9736.205716650597,3941.013068140621,83.2002367537323,False,Raw,50,Normal,34659.35
Helical,Automotive,Stainless Steel,3.3829629816454863,90,2075.9542929738795,3616.2588950122117,84.28840859119234,False,Polished,25,Urgent,91511.09
Helical,Marine,Stainless Steel,4.673126207871434,60,7840.336676368252,1144.6005978164158,98.7734465742735,False,Polished,25,Urgent,98005.17
Worm,Aerospace,Steel,6.333542304383317,99,537.9978816543564,2762.9996330688064,34.63630731877205,True,Ground,100,Normal,62922.36
Worm,Aerospace,Alloy Steel,1.323356185502714,126,1277.1363381463282,1521.8309496558384,6.8427888069067615,False,Honed,100,Normal,96813.66
Spur,Marine,Cast Iron,5.34551411261524,55,5199.662428091728,3897.9780331655284,48.11249647040782,True,Ground,25,Urgent,30820.74
Spur,Industrial,Alloy Steel,8.73754240058068,47,9996.127807973031,3765.6547732881745,48.494850252672535,False,Ground,10,Normal,52908.09
Worm,Marine,Alloy Steel,5.4313095482679685,192,9498.71993283551,1225.273076704919,4.616489476909745,True,Polished,10,Normal,93477.22
Helical,Marine,Cast Iron,5.970910317899494,183,1208.2351077087387,3242.579336392433,57.93108176659157,True,Honed,1,Urgent,56550.09
Helical,Industrial,Cast Iron,2.8171460846367173,33,2472.900468854355,386.2967214653567,26.821084941265575,False,Ground,5,Normal,34772.63
Spur,Industrial,Alloy Steel,8.149090095868942,141,9463.33931226722,3865.88724363348,12.79341648197806,False,Honed,10,Urgent,51745.17
Worm,Automotive,Stainless Steel,4.22990459233776,18,1592.1666697528779,3922.990115454649,60.884234500026324,True,Ground,1,Urgent,128668.86
Spur,Automotive,Alloy Steel,9.6092879813159,27,7453.610854753886,1800.3583627807523,28.952245231181603,False,Ground,25,Normal,54591.83
Spur,Industrial,Cast Iron,9.943433274336213,105,110.9694317360838,4050.6570764261337,56.59579144735406,True,Polished,25,Normal,35920.44
Bevel,Aerospace,Alloy Steel,9.244004883362587,55,6353.949816484207,4305.657994380433,2.50579391400847,False,Polished,5,Urgent,109307.21
Bevel,Aerospace,Cast Iron,1.7638907033452953,121,4996.544176242956,1031.2832419087783,37.25570331907883,True,Polished,50,Urgent,51397.43
Bevel,Marine,Stainless Steel,3.9986483994642414,76,4763.150269195973,1819.3860062677554,86.67688820011143,False,Honed,10,Urgent,90915.02
Helical,Agricultural,Alloy Steel,9.506238715922656,84,8308.998332458608,1379.295315485016,65.36159653182936,True,Ground,10,Normal,67248.18
Worm,Marine,Stainless Steel,8.24079965359994,82,899.2700179545201,1934.355816355864,86.88350648373805,False,Raw,25,Urgent,98112.04
Worm,Marine,Alloy Steel,9.200652303766866,169,3835.588224709974,2289.8303781952745,74.30697529359485,True,Polished,1,Urgent,152285.7
Worm,Agricultural,Alloy Steel,6.152978742769889,181,4515.78159523566,2598.8468556304565,72.25182902269873,True,Honed,100,Normal,87847.53
Worm,Industrial,Cast Iron,5.323578293687772,85,1326.872940606445,272.0081396199689,87.13229289084812,True,Honed,5,Normal,69820.05
Bevel,Aerospace,Steel,1.9584668530400595,36,948.0988091059255,370.31511068291655,2.9347681900738123,False,Ground,5,Normal,54327.77
Helical,Marine,Cast Iron,8.555243880907891,93,1878.1816151176215,3310.649702781452,42.57983254717428,False,Raw,50,Urgent,30983.22
Helical,Agricultural,Alloy Steel,7.706273935784306,82,2486.3724773000617,2269.432806366104,96.08099175902241,True,Raw,50,Normal,49434.21
Bevel,Automotive,Steel,1.5298894271387098,68,9663.999716826298,539.7142452232463,18.53901196860715,False,Raw,100,Normal,43118.86
Helical,Marine,Steel,2.884731306357568,171,4808.575741391659,1992.5265813173442,65.71900821285556,False,Raw,1,Normal,44241.8
Bevel,Aerospace,Stainless Steel,6.015498069835094,61,5151.861423458002,2429.9249838128017,79.22912653514979,False,Polished,1,Urgent,147301.71
Worm,Industrial,Alloy Steel,7.159621618581748,86,7099.282229111285,3214.391504718945,93.42684749964597,True,Raw,5,Normal,92865.81
Bevel,Marine,Cast Iron,2.239032378349058,149,6874.241298255545,679.8173177238548,87.30795166754058,True,Polished,25,Normal,41840.97
Worm,Marine,Steel,3.203423366160915,161,5077.496280918361,4974.541141379433,67.98154234827378,True,Raw,1,Urgent,80656.7
Worm,Agricultural,Steel,2.7379919053811257,52,3464.4001024266413,2426.0571244679923,71.40487558126605,False,Polished,100,Urgent,66761.41
Spur,Automotive,Cast Iron,2.97997437403488,58,3377.411766515652,3435.8738132559956,34.96059215286161,False,Polished,1,Normal,34127.24
Bevel,Automotive,Cast Iron,9.2864181121189,153,671.3362655061609,4550.269043637301,23.169622737160992,False,Raw,50,Normal,39980.36
Spur,Industrial,Steel,7.442376157348787,142,9006.338378797012,255.934483949893,95.90365883648104,False,Honed,50,Urgent,43457.23
Bevel,Aerospace,Cast Iron,7.63396282362973,89,7717.005784894891,3046.658993140737,97.58103207341172,True,Raw,100,Normal,41116.29
Bevel,Industrial,Stainless Steel,8.145957797823543,64,6271.0980888847935,2747.743133255037,43.03566438813593,False,Polished,50,Urgent,94140.42
Spur,Marine,Steel,4.20915738379654,27,4021.2092578208203,381.2933264009671,41.67162894445511,False,Polished,25,Urgent,41419.06
Spur,Marine,Stainless Steel,7.904661529592265,130,5866.410733443685,3495.8359496681046,45.7200649018838,True,Honed,5,Urgent,88558.15
Bevel,Automotive,Alloy Steel,9.805720548906434,39,4902.389069189136,1181.8336643634584,46.67997486591785,False,Ground,25,Normal,64199.59
Helical,Aerospace,Stainless Steel,7.285548213468478,174,2811.956286940952,3539.2197751326453,84.37448500114157,False,Ground,50,Urgent,64015.32
Worm,Agricultural,Cast Iron,4.750778010632851,141,3055.8701924095403,1876.88295768137,43.638754010218676,False,Honed,10,Normal,53326.08
Spur,Aerospace,Steel,7.447238071398772,72,8757.349093914945,3873.6183848906417,88.35278272444043,True,Honed,10,Urgent,67582.69
Worm,Marine,Stainless Steel,9.107152302365824,195,6385.589917511439,4714.631071876794,69.82328829109869,False,Raw,5,Urgent,119023.68
Helical,Agricultural,Cast Iron,2.158853893083762,66,114.08259894707406,4316.511827966476,96.5737429590266,True,Polished,50,Normal,44578.95
Helical,Aerospace,Cast Iron,3.3876520802624928,29,3336.030474552448,2464.610496695509,67.78147642760695,False,Ground,100,Urgent,32055.32
Helical,Aerospace,Stainless Steel,9.273665937960148,60,3465.460100781003,1203.8372300797373,41.80545944418148,True,Raw,50,Urgent,79491.49
Spur,Agricultural,Steel,9.516096104000745,113,7092.722038570998,4962.87524666825,91.8799735162668,True,Ground,25,Urgent,56248.71
Helical,Marine,Stainless Steel,5.357252144061506,53,7034.488090563004,3331.5434849779735,23.749647319672388,True,Raw,5,Normal,90540.11
Spur,Aerospace,Alloy Steel,4.370958670629678,18,4695.13304475157,2040.16792361194,96.53059774092206,True,Polished,25,Urgent,56792.54
Helical,Agricultural,Stainless Steel,3.545036250427263,143,9514.696186832807,2459.4663626481047,5.299470485557605,False,Raw,100,Urgent,66580.28
Worm,Marine,Stainless Steel,5.488763869818715,182,8735.068780368045,727.4709281793196,64.45311911142923,True,Polished,50,Urgent,122154.89
Worm,Agricultural,Steel,9.410780364319466,70,8675.486075817313,2575.930946532763,2.8067154508892327,False,Raw,100,Normal,61469.76
Bevel,Agricultural,Stainless Steel,2.348286646820099,60,3547.828558619117,948.5060860952957,21.19340341311752,True,Polished,1,Urgent,124602.12
Worm,Aerospace,Cast Iron,4.778475746924983,71,4366.8979126090535,1892.1529229230694,46.93355006678256,True,Raw,10,Urgent,57520.54
Bevel,Marine,Steel,9.2044707126174,17,4247.723052830394,2509.6580904875977,16.66903027077486,True,Raw,50,Normal,55611.8
Worm,Aerospace,Cast Iron,4.142073431298267,159,4458.6421363935715,4744.213821785622,98.89356013064159,False,Polished,1,Normal,66827.82
Spur,Industrial,Steel,7.912732663391834,42,8903.186870607578,3160.996125114696,77.52823703519212,True,Honed,10,Urgent,62301.53
Worm,Industrial,Alloy Steel,4.503338076169918,127,2566.2949257410187,1922.261887188579,85.23460089976429,True,Honed,1,Urgent,100287.33
Bevel,Marine,Alloy Steel,8.244340104907375,161,8041.731202497301,654.137542637132,97.9279753840788,True,Raw,5,Normal,83562.49
Bevel,Agricultural,Alloy Steel,9.829021149614878,96,5188.995752943258,3761.2240815937075,67.80210178641649,False,Polished,1,Normal,98417.24
Helical,Aerospace,Stainless Steel,4.490398095177505,171,2565.9334387594945,2387.579186879729,27.393220161921334,False,Ground,100,Urgent,73009.82
Spur,Aerospace,Alloy Steel,8.605887891167804,58,5320.208410709586,433.960262690744,75.93841001022628,True,Ground,1,Urgent,88632.68
Worm,Marine,Steel,9.895751423562707,173,2034.872044673027,3318.6856378700777,58.84680256309441,True,Ground,5,Normal,68946.51
Helical,Marine,Alloy Steel,9.854471287101289,166,1170.9750453196457,1815.5163718739323,27.482406687604794,False,Ground,1,Urgent,77260.1
Worm,Industrial,Steel,4.903939733799772,55,8397.956436537304,2079.0672777213304,37.361161189466806,True,Ground,10,Urgent,81580.62
Worm,Automotive,Cast Iron,5.37185008494235,169,7023.288031963532,4210.383732816561,61.17892442182914,True,Polished,1,Normal,77858.21
Helical,Marine,Stainless Steel,3.730614054787018,172,2129.292003117302,772.8103731164439,40.149990579615,False,Raw,100,Urgent,70391.23
Helical,Automotive,Cast Iron,3.8261688735012855,166,9428.717829560625,1767.836866038275,24.278065799671477,True,Ground,100,Urgent,37801.57
Helical,Marine,Cast Iron,5.432235603690118,67,341.54389607836674,1881.9739168846104,43.56239609828583,False,Honed,1,Normal,43564.56
Helical,Agricultural,Alloy Steel,2.8046673105787785,162,3399.4738517967953,116.31385741521238,24.1264865906464,True,Honed,5,Normal,78771.43
Helical,Agricultural,Alloy Steel,7.400109665394348,54,314.36508106621295,4242.111690219028,87.63594801445032,False,Ground,10,Urgent,77125.48
Worm,Industrial,Alloy Steel,5.826776812788271,65,1508.746173564399,4193.031584128859,69.71329276201476,False,Honed,5,Urgent,112985.39
Helical,Industrial,Cast Iron,9.082610714559541,79,1882.785824017773,3342.9979141431127,38.27721296812551,True,Polished,1,Urgent,45651.48
Spur,Automotive,Stainless Steel,8.295241904294869,64,8122.315190532619,4504.810531680726,94.59865701367102,True,Ground,5,Normal,86201.81
Bevel,Marine,Stainless Steel,3.9022400156152113,51,9931.092738280508,1437.1443808502063,39.50589748598225,True,Raw,100,Normal,63766.83
Helical,Aerospace,Cast Iron,5.552241607159006,199,8686.470718649447,1181.0883750849273,57.87244930534893,False,Polished,5,Normal,40440.88
Helical,Industrial,Stainless Steel,7.754634348748967,97,6387.816588942177,435.7519220361111,51.675339809602725,True,Honed,1,Urgent,91284.01
Worm,Aerospace,Cast Iron,2.7388011473055247,148,7256.94195756848,3000.8627818398168,13.069736514684077,False,Ground,1,Urgent,65619.77
Helical,Aerospace,Cast Iron,1.2843795683582502,106,5275.927840804783,2532.1417298006363,42.9554065977155,False,Polished,100,Urgent,40171.21
Helical,Marine,Stainless Steel,8.670740736774555,149,4283.181705815119,4070.9419468959886,8.677015661086386,True,Polished,100,Urgent,78925.68
Helical,Automotive,Steel,2.2379523174365343,21,6952.4724153401485,2458.3064839122403,17.88457985836283,True,Polished,100,Normal,46854.37
Worm,Marine,Steel,9.004702878583359,169,9733.855191492885,1095.8574769962038,78.96529824566932,True,Polished,50,Normal,54509.47
Helical,Industrial,Alloy Steel,9.222472214930301,149,386.05101932753814,4067.0248955251723,30.963530524228425,True,Polished,1,Urgent,74888.67
Bevel,Aerospace,Stainless Steel,5.146303943234415,197,3209.441008207857,2331.727403450453,9.80663291571817,True,Honed,1,Urgent,133044.35
Worm,Marine,Alloy Steel,8.261035411173204,47,3367.5920497704924,4783.568080908919,72.17690828911927,True,Ground,50,Urgent,93967.92
Bevel,Marine,Cast Iron,4.268721217187245,183,4201.083472618986,2718.909945303988,80.4372568910696,True,Polished,10,Urgent,70289.96
Worm,Marine,Steel,8.724380936605721,196,6306.232254324342,672.0207780222906,58.22966380556309,True,Polished,50,Urgent,80528.29
Helical,Industrial,Stainless Steel,8.422136957500452,54,5186.156308549043,4270.019776078687,91.64555163834022,False,Honed,5,Normal,74722.13
Bevel,Automotive,Stainless Steel,1.7066655073108215,118,285.4175853553329,4404.210892014539,85.0948232460359,False,Raw,50,Normal,79805.21
Worm,Marine,Stainless Steel,6.2434156667713046,162,4174.934826015178,2282.614555975194,55.71857617811642,False,Ground,100,Normal,75987.78
Spur,Industrial,Steel,6.759990132370733,143,6232.542174780702,227.36574578193913,73.96402908614989,True,Ground,50,Urgent,52582.32
Helical,Aerospace,Alloy Steel,1.0077156161939445,151,5097.764776811793,245.64500222950647,33.594941723063314,False,Raw,10,Normal,68199.39
Worm,Agricultural,Steel,9.819264868563659,135,8733.412455395011,1820.6313407171933,63.99220977223114,False,Ground,25,Normal,58218.51
Spur,Industrial,Alloy Steel,4.6591081741063975,60,4046.0971396134028,3609.5378783592355,97.71588992511293,True,Ground,10,Urgent,72226.25
Worm,Agricultural,Cast Iron,5.656088852732918,163,224.33093028642386,1722.1538903152511,80.1873677387184,False,Raw,50,Normal,45247.94
Spur,Marine,Cast Iron,2.7532367181371886,152,2920.495323789538,137.87662142105253,38.07913253786059,False,Ground,5,Urgent,39032.45
Helical,Marine,Alloy Steel,6.498267197655351,135,1443.159006992983,4257.998043609837,93.3042264103714,False,Honed,5,Normal,74601.04
Bevel,Industrial,Cast Iron,8.29557879651423,79,2577.280202182969,4846.7889145696945,82.68852024275101,True,Polished,25,Urgent,54383.39
Spur,Agricultural,Cast Iron,6.273031111477553,113,3684.6713785650622,1797.2103299960404,4.684909162980796,True,Ground,1,Normal,42887.58
Worm,Marine,Stainless Steel,8.092315412218873,101,6798.890957979438,458.0661411839204,74.85449411503117,True,Ground,100,Normal,86173.28
Helical,Aerospace,Stainless Steel,7.579971646463502,173,3309.28295345198,1527.917423215381,97.66352815556571,True,Polished,100,Urgent,79389.94
Spur,Automotive,Steel,3.1389203037442424,20,8852.680833132277,4015.1283006714193,32.45294974446297,False,Polished,100,Urgent,34626.68
Worm,Automotive,Steel,4.922315569982387,21,3065.7223029573597,2757.067176633152,28.258302336810733,False,Ground,50,Urgent,73184.1
Worm,Marine,Steel,2.3376419599276774,136,1455.640780200959,1981.529632956897,64.36663446124413,False,Honed,1,Urgent,76100.54
Worm,Agricultural,Stainless Steel,1.377422875675918,126,1771.7676329621374,1737.7118118516319,11.902077594212907,False,Polished,5,Urgent,124558.73
Spur,Marine,Steel,1.5676205973771782,76,9352.34065243142,665.4351149885737,67.82261586133612,True,Polished,1,Normal,53651.58
Spur,Agricultural,Steel,9.482499368856015,123,4602.663265857709,1763.6174147086833,23.431375125037228,False,Raw,10,Urgent,48775.57
Spur,Aerospace,Stainless Steel,9.860837132209406,83,4090.9480738187517,2403.5313379001614,45.70157770062058,False,Honed,100,Normal,49521.55
Bevel,Agricultural,Alloy Steel,1.8547975724485597,85,782.1187228754095,3398.3912225902777,89.30505067571154,True,Polished,10,Normal,74327.4
Spur,Marine,Stainless Steel,4.0167409165484385,65,7359.878580940993,1384.183937804719,79.88193670022713,False,Polished,25,Urgent,64642.47
Spur,Aerospace,Alloy Steel,2.029786121404204,182,6977.060005189329,4497.156516783882,11.691209841044925,False,Ground,1,Urgent,74634.53
Spur,Industrial,Stainless Steel,8.508059410320723,198,3819.8314394041017,2475.5186787714033,76.37705662174918,True,Polished,25,Urgent,91828.5
Bevel,Automotive,Steel,5.466673824762535,100,6948.459141870409,2085.290174871064,41.75937216146421,True,Polished,10,Urgent,88686.42
Spur,Marine,Cast Iron,6.591355803329944,106,3737.7724290824744,3010.3733417308563,99.44972752492914,True,Raw,100,Urgent,30679.09
Worm,Marine,Cast Iron,5.859197791615056,114,824.2644118030188,921.3563574790983,30.673877490892774,True,Honed,10,Normal,47576.67
Spur,Marine,Alloy Steel,7.392282254566444,198,7407.183835346982,622.2684900641129,47.589316180964296,True,Polished,25,Normal,49482.06
Worm,Aerospace,Alloy Steel,3.872190189853545,72,9655.492804439291,1798.0478173042343,34.776602154567236,False,Honed,10,Urgent,103194.78
Worm,Industrial,Alloy Steel,2.2374401907702905,177,6518.07622892342,295.6736192040514,59.03307524616957,False,Honed,1,Urgent,107277.33
Worm,Agricultural,Cast Iron,1.1585800245674258,147,2836.9662286221196,1950.1576840083535,27.32169692989638,True,Honed,50,Normal,53604.83
Bevel,Industrial,Alloy Steel,5.0112359976334435,139,2772.210826102543,3390.277761675862,91.35203553065625,True,Raw,50,Normal,61955.23
Bevel,Aerospace,Stainless Steel,9.170509859122935,76,9296.878205220319,4079.399290253585,62.0819233337725,True,Polished,10,Urgent,103021.62
Bevel,Marine,Stainless Steel,3.7473988421104,16,3102.574043238094,2940.8392331755963,94.32827253654408,True,Raw,50,Normal,84965.27
Spur,Automotive,Cast Iron,2.763611390220608,131,7705.1031104899,3487.512869831691,68.3712611056142,True,Honed,50,Urgent,32950.08
Worm,Marine,Stainless Steel,9.334384716223964,126,6464.858324809728,4182.335955979344,19.39762105990809,True,Ground,50,Normal,104569.46
Bevel,Agricultural,Alloy Steel,1.9490377487616475,120,5966.757931430144,3888.3374811571853,2.526542234892168,True,Polished,100,Normal,81795.85
Bevel,Automotive,Cast Iron,1.466209300742291,54,1892.641325880641,1667.9113850938604,41.35015331500889,False,Polished,100,Urgent,43182.09
Spur,Marine,Alloy Steel,8.914718574598941,199,440.6693544547935,2909.7711284939082,99.35753974265376,False,Honed,10,Urgent,69871.83
Bevel,Automotive,Stainless Steel,7.308184437592202,37,4937.903600146096,1397.7804580773209,87.81585265691125,False,Honed,50,Urgent,98266.57
Spur,Industrial,Alloy Steel,4.798617743236715,22,9882.77021177287,2924.0355386362417,84.83334175643475,False,Honed,25,Urgent,54531.63
Helical,Aerospace,Cast Iron,7.77109575707957,173,2038.0230519108595,2187.4067431213784,57.299737197718926,True,Honed,100,Urgent,41108.97
Bevel,Marine,Alloy Steel,7.672959568398422,141,5415.0333389473235,1926.7159900371105,10.389099133602862,False,Ground,25,Urgent,105708.17
Helical,Agricultural,Stainless Steel,1.3605450693452465,32,6742.6950169810525,999.4633261147306,2.502333973861804,True,Raw,50,Normal,78142.83
Spur,Industrial,Steel,7.08622130855656,126,4888.409393571642,2852.5899214251012,84.0236539380665,False,Polished,5,Normal,40700.77
Worm,Marine,Cast Iron,6.767851397074414,165,5118.644685312221,3673.648307913393,18.561869036358818,False,Honed,5,Urgent,51211.61
Bevel,Industrial,Alloy Steel,9.674012227746731,139,6646.15229230858,2899.2705510971205,8.593008552922145,False,Raw,25,Normal,65531.18
Spur,Agricultural,Cast Iron,9.699603491437871,87,8167.564420349225,439.21067433691786,71.26583790983723,True,Ground,25,Urgent,35433.89
Worm,Marine,Alloy Steel,4.400193935818395,84,3399.547373476059,4629.202118909219,1.1162567933259289,True,Raw,50,Urgent,94346.13
Worm,Agricultural,Steel,6.308577206993965,98,9002.824793015385,126.90614273957749,74.3409434223038,False,Honed,10,Urgent,70370.37
Helical,Automotive,Stainless Steel,2.2722163739954087,117,4900.518641541961,4436.783776918891,20.040840467038734,True,Raw,25,Urgent,82972.86
Spur,Agricultural,Alloy Steel,1.5981087336142061,144,6652.586974529196,3853.7592994548313,32.818049039171605,True,Raw,50,Normal,54450.88
Worm,Automotive,Alloy Steel,4.895018850330122,20,1154.4849774161426,573.1306918369828,17.998076322189906,False,Ground,25,Urgent,74474.88
Bevel,Marine,Steel,7.208938097515094,130,4975.544935140378,1259.1654709048162,77.93766152293523,True,Polished,100,Normal,54382.14
Bevel,Automotive,Cast Iron,6.109850100679542,61,259.45381695767503,1809.9392288675065,48.992497814844256,True,Ground,25,Urgent,55345.76
Helical,Marine,Stainless Steel,4.866912299674017,21,3971.144914516391,4560.4744546265765,17.417153905503977,True,Honed,50,Normal,75064.72
Worm,Marine,Alloy Steel,8.363012920971318,124,639.3935856325718,4901.638446542966,4.814596628447552,True,Polished,50,Urgent,103647.05
Spur,Aerospace,Alloy Steel,8.149847249653723,197,8980.110292790228,527.12451159754,98.68424564531968,False,Raw,1,Urgent,68205.34
Bevel,Marine,Stainless Steel,7.587478495699852,21,6760.770696643053,2044.9674620933854,71.72237075038363,True,Honed,10,Urgent,102940.44
Worm,Automotive,Steel,1.6932902333838498,89,7939.575926674668,831.4811005080992,68.31529369241906,False,Raw,100,Normal,44796.2
Worm,Aerospace,Cast Iron,8.168226651060792,47,4730.026896247232,1464.3391461389126,50.77808132300953,True,Raw,1,Urgent,80173.7
Helical,Aerospace,Stainless Steel,9.2747918439523,67,8533.787610613103,4907.244474097617,44.06362811855269,False,Raw,1,Urgent,84184.33
Bevel,Marine,Cast Iron,1.5349787946182483,129,8743.101839195135,4923.687949405441,79.80049138790744,False,Raw,1,Urgent,41744.58
Bevel,Agricultural,Steel,4.615042499276815,48,3632.5005744360187,2413.475907049026,82.83415364267958,True,Raw,1,Normal,49840.54
Spur,Agricultural,Steel,9.89519940744929,180,3830.8635930900346,997.3797961396513,7.049019867928282,False,Polished,100,Urgent,45164.01
Bevel,Aerospace,Stainless Steel,6.393149726214553,59,5131.583016005262,2780.3911069783085,86.08261888492258,False,Honed,1,Normal,89070.22
Spur,Marine,Alloy Steel,5.622196619147165,161,518.2106009170044,1671.357517105383,76.39348257870284,True,Ground,100,Urgent,59250.44
Bevel,Agricultural,Steel,2.597015327218692,98,9958.106139948213,4651.27111663085,49.13506318012997,True,Raw,25,Urgent,64092.67
Helical,Marine,Steel,6.08937655000753,72,3655.894216533909,4109.250105875126,48.15611675836957,False,Polished,1,Normal,40550.63
Bevel,Marine,Stainless Steel,4.951389344225077,86,4761.348802231588,1613.319262378756,83.64488907653659,False,Ground,50,Urgent,91833.25
Spur,Aerospace,Stainless Steel,2.1469875001311074,128,7572.095073533047,189.71457196653824,79.56263300195144,False,Ground,100,Urgent,58796.2
Spur,Aerospace,Stainless Steel,5.178993873562308,126,3045.3836591611785,4990.43831466115,14.74088797127635,False,Raw,10,Normal,54666.06
Helical,Industrial,Steel,2.4795937465773443,110,2096.1510931881776,3448.385528944657,55.37034809591129,False,Honed,5,Urgent,56833.31
Bevel,Agricultural,Cast Iron,7.575972595534509,59,1361.7561977192977,2186.064860101505,96.9663854205369,False,Raw,5,Normal,33690.01
Bevel,Agricultural,Steel,9.762835295292607,48,5327.37135990464,1513.433047753113,73.8107199232504,False,Raw,25,Urgent,50976.16
Helical,Agricultural,Stainless Steel,5.226193435831266,180,154.4330462772794,121.67974862012282,97.32485042249428,False,Polished,100,Normal,45079.27
Bevel,Automotive,Alloy Steel,6.691314987231515,16,7124.254840937911,854.4011068269958,77.82374987151383,True,Ground,1,Urgent,93199.84
Bevel,Marine,Alloy Steel,4.878779722901581,111,4667.756054644126,128.76954093143104,52.94148265391063,True,Honed,50,Normal,66371.52
Spur,Aerospace,Stainless Steel,2.246084682913048,191,5365.045973915491,3028.1637079569596,60.88536366170381,False,Honed,5,Normal,79129.15
Bevel,Agricultural,Alloy Steel,9.734997578279488,28,2705.7260240342416,3350.3820305820027,71.23192487072559,True,Ground,1,Normal,87026.98
Bevel,Industrial,Steel,2.1662079767567173,101,1864.7052443867685,3857.3010977367467,73.15384368244709,False,Raw,5,Urgent,56063.9
Helical,Agricultural,Cast Iron,2.004641276621866,119,7029.897745349352,1016.2968421010943,75.00832134241101,False,Ground,5,Urgent,49995.9
Helical,Marine,Steel,5.132556475041705,191,2181.707982901004,570.2572638671375,93.09567498575746,False,Raw,1,Urgent,68907.45
Worm,Marine,Stainless Steel,6.929985391902389,31,7822.850988333018,3287.2496050606637,31.6073274029325,True,Raw,10,Normal,127377.16
Spur,Aerospace,Steel,4.1943094387560205,114,2116.3579431662392,2549.4811833202075,83.11778181265107,True,Raw,10,Normal,31213.97
Bevel,Automotive,Alloy Steel,2.7326531997721273,108,6165.562720242012,4390.860910363167,57.398488552177625,True,Ground,25,Urgent,94571.6
Bevel,Aerospace,Steel,8.370670312247286,155,6474.33343423467,2713.0035156026706,88.64763813525458,False,Honed,50,Normal,46285.03
Worm,Agricultural,Cast Iron,4.267929885485961,18,5105.891351112854,2279.6239770306515,63.47828089041218,True,Raw,1,Normal,63678.22
